#class tools::wcsv::ntuple
#title Aggregated per-config readout
#separator 44
#vector_separator 59
#column double e0_keV
#column double e1_keV
#column double e2_keV
#column double e3_keV
#column double e4_keV
#column double e5_keV
#column double e6_keV
#column double e7_keV
#column double e8_keV
#column double c0_b0
#column double c0_b1
#column double c1_b0
#column double c1_b1
#column double c2_b0
#column double c2_b1
#column double c3_b0
#column double c3_b1
#column double c4_b0
#column double c4_b1
#column double c5_b0
#column double c5_b1
#column double c6_b0
#column double c6_b1
#column double c7_b0
#column double c7_b1
#column double c8_b0
#column double c8_b1
#column double angle_deg
#column double dist_cm
#column int nEvents
1.78021e+06,26053.7,562.014,32748.8,563.243,0,0,0,0,59,1065,8,43,0,2,17,59,1,1,0,0,0,0,0,0,0,0,222.39,82.6354,5000
3214.35,243608,1.57106e+06,37588.1,6139.45,0,0,0,0,0,7,26,280,60,1188,1,29,1,6,0,0,0,0,0,0,0,0,327.694,275.144,5000
1.35775e+06,23543.8,0,4756.07,0,0,0,0,0,53,875,7,92,0,0,0,23,0,0,0,0,0,0,0,0,0,0,51.6477,59.4848,5000
557257,1093.06,147.968,67807.8,0,0,0,0,0,79,765,0,6,0,1,27,204,0,0,0,0,0,0,0,0,0,0,14.9747,194.125,5000
61514.8,37356.5,5887.43,1.19598e+06,1337.52,0,0,0,0,39,159,9,37,2,7,65,1334,0,5,0,0,0,0,0,0,0,0,178.377,163.931,5000
7932.55,39994.6,1.44812e+06,229931,15709.9,0,0,0,0,2,23,9,48,65,1254,9,193,3,16,0,0,0,0,0,0,0,0,348.026,304.056,5000
162534,1199.42,0,69219.5,278.449,0,0,0,0,58,396,0,5,0,0,25,226,0,2,0,0,0,0,0,0,0,0,12.4129,465.533,5000
448205,115039,839.621,31124.9,856.37,0,0,0,0,58,965,55,252,0,4,9,39,0,3,0,0,0,0,0,0,0,0,257.11,147.683,5000
1.30188e+06,27055.9,0,6606.14,135.165,0,0,0,0,51,914,7,100,0,0,0,30,0,1,0,0,0,0,0,0,0,0,57.538,23.23,5000
20195.9,190277,25027.9,1.74205e+06,8710.72,0,0,0,0,9,28,0,140,4,25,53,1070,0,40,0,0,0,0,0,0,0,0,142.091,256.875,5000
1.31333e+06,18732.7,0,10034.7,344.512,0,0,0,0,52,868,4,71,0,0,1,47,0,2,0,0,0,0,0,0,0,0,50.3113,433.466,5000
15815.8,39985.9,869289,439633,14139,0,0,0,0,7,51,7,49,73,1181,15,399,1,16,0,0,0,0,0,0,0,0,352.926,349.66,5000
5027.58,58149.3,1.61419e+06,167818,16513.5,0,0,0,0,0,13,12,83,63,1230,14,132,1,24,0,0,0,0,0,0,0,0,345.461,68.5854,5000
10073.2,265604,14384.1,40800.9,1.33914e+06,0,0,0,0,5,28,11,225,3,19,8,55,71,1285,0,0,0,0,0,0,0,0,100.49,452.514,5000
1.17715e+06,3548.14,231.177,28793.6,0,0,0,0,0,55,873,0,18,0,1,11,100,0,0,0,0,0,0,0,0,0,0,29.5636,339.46,5000
1.06238e+06,40420.3,23.618,3129.58,0,0,0,0,0,49,921,14,136,0,0,0,16,0,0,0,0,0,0,0,0,0,0,65.3105,65.2111,5000
85906.8,18637,1268.32,115393,0,0,0,0,0,25,265,3,20,0,3,55,282,0,0,0,0,0,0,0,0,0,0,188.524,326.153,5000
989413,44686,484.125,3590.65,0,0,0,0,0,67,886,19,141,0,0,0,18,0,0,0,0,0,0,0,0,0,0,66.8064,130.345,5000
6574.01,274657,1.56324e+06,45422.9,7121.12,0,0,0,0,0,7,37,250,53,1261,4,38,1,15,0,0,0,0,0,0,0,0,326.952,70.3383,5000
1.79636e+06,30564.7,577.137,32079,1066.59,0,0,0,0,58,1024,7,57,0,2,15,51,1,1,0,0,0,0,0,0,0,0,220.967,25.9469,5000
1.09813e+06,28609.9,3397.47,105096,1324.63,0,0,0,0,52,1278,7,37,0,1,47,225,2,2,0,0,0,0,0,0,0,0,197.717,391.931,5000
37188.6,22144.4,112141,999310,8409.39,0,0,0,0,17,102,1,34,42,341,53,963,1,14,0,0,0,0,0,0,0,0,354.906,80.5767,5000
8820.84,63338.3,6209.9,469281,1.0727e+06,0,0,0,0,3,10,6,48,1,12,42,409,67,1272,0,0,0,0,0,0,0,0,128.327,489.218,5000
1.24337e+06,5477.83,483.186,25141.9,0,0,0,0,0,51,879,0,26,0,0,9,92,0,0,0,0,0,0,0,0,0,0,31.4151,311.72,5000
24976.7,1.67657e+06,6128.17,165514,49734.9,0,0,0,0,9,56,55,1109,1,25,18,182,5,46,0,0,0,0,0,0,0,0,298.001,414.998,5000
1.74981e+06,25542.4,568.444,37146,495.751,0,0,0,0,55,1131,9,36,0,2,21,56,0,0,0,0,0,0,0,0,0,0,218.771,73.8533,5000
35055.7,37354.5,188647,1.5355e+06,1827.58,0,0,0,0,21,87,8,46,10,137,59,1145,0,9,0,0,0,0,0,0,0,0,167.28,427.637,5000
3955.69,35764,9257.15,248264,1.63303e+06,0,0,0,0,1,2,1,23,1,11,23,249,64,1217,0,0,0,0,0,0,0,0,121.628,71.4469,5000
35828.8,1.57766e+06,2283.4,52303,160383,0,0,0,0,19,89,49,1209,0,10,12,70,10,105,0,0,0,0,0,0,0,0,285.129,383.07,5000
1.29796e+06,4213.84,497.953,26704.9,0,0,0,0,0,64,865,1,19,0,0,15,89,0,0,0,0,0,0,0,0,0,0,32.8281,214.319,5000
1.37205e+06,9774.79,0,22052.4,320.635,0,0,0,0,45,900,1,45,0,0,7,84,0,1,0,0,0,0,0,0,0,0,39.3002,157.154,5000
4331.46,42815.7,7156.75,181972,1.64795e+06,0,0,0,0,1,13,4,30,1,9,21,208,70,1090,0,0,0,0,0,0,0,0,118.785,428.65,5000
1.6141e+06,24164.9,719.984,54791.1,1021.03,0,0,0,0,68,1188,13,30,0,2,21,99,2,1,0,0,0,0,0,0,0,0,210.227,301.986,5000
24546.6,175558,56565,1.76881e+06,3275.14,0,0,0,0,12,52,11,178,1,44,68,1086,0,14,0,0,0,0,0,0,0,0,153.573,55.9505,5000
5158.31,53721.6,1.60019e+06,174382,10261.4,0,0,0,0,0,17,12,85,53,1212,3,141,0,13,0,0,0,0,0,0,0,0,346.198,61.0231,5000
73374.4,2071.33,343.621,853460,447.845,0,0,0,0,36,209,0,13,0,2,63,1144,0,2,0,0,0,0,0,0,0,0,2.86044,156.981,5000
12439.5,1.20562e+06,82395.1,152929,9251.09,0,0,0,0,4,20,47,882,30,270,11,120,3,13,0,0,0,0,0,0,0,0,318.201,80.2937,5000
14933.7,1.11494e+06,95898.2,146213,14270.6,0,0,0,0,8,16,49,853,36,341,7,107,7,15,0,0,0,0,0,0,0,0,318.422,275.506,5000
78297.2,336.708,495.059,838323,543.884,0,0,0,0,37,211,0,2,1,1,76,1223,0,2,0,0,0,0,0,0,0,0,2.72176,126.962,5000
30770.2,1.74193e+06,1960.62,162676,65072.2,0,0,0,0,26,61,65,1130,0,8,13,182,4,46,0,0,0,0,0,0,0,0,293.252,26.137,5000
1.61066e+06,24206.4,1494.27,48476.1,1959.14,0,0,0,0,52,1108,9,35,0,3,22,104,1,3,0,0,0,0,0,0,0,0,210.942,328.621,5000
62050.1,34372.5,8353.5,1.26303e+06,511.196,0,0,0,0,31,165,6,49,1,10,81,1312,0,2,0,0,0,0,0,0,0,0,177.494,117.127,5000
3158.23,56736.8,10581.8,124568,1.73327e+06,0,0,0,0,0,8,4,43,0,4,18,168,51,1044,0,0,0,0,0,0,0,0,111.13,284.683,5000
718229,60654.7,246.666,2265.36,0,0,0,0,0,52,817,22,192,0,1,0,14,0,0,0,0,0,0,0,0,0,0,72.0034,381.488,5000
6136.43,45010.6,4742.06,328930,1.43295e+06,0,0,0,0,0,16,1,28,1,5,31,320,81,1239,0,0,0,0,0,0,0,0,125.045,163.745,5000
73093.7,280700,691.466,18721.5,1284.24,0,0,0,0,32,154,53,500,0,4,0,23,0,0,0,0,0,0,0,0,0,0,264.859,33.0328,5000
6903.97,162245,8022.83,56795,1.59974e+06,0,0,0,0,2,17,10,130,1,16,17,71,46,1222,0,0,0,0,0,0,0,0,104.235,67.9745,5000
6236.86,337349,1.4359e+06,39447.6,8329.02,0,0,0,0,5,8,30,310,66,1236,0,24,1,11,0,0,0,0,0,0,0,0,324.726,161.411,5000
5226.69,350862,1.38945e+06,50552.4,7196.22,0,0,0,0,2,13,25,310,69,1245,4,36,0,7,0,0,0,0,0,0,0,0,324.691,294.43,5000
20548.6,1.71157e+06,4668,164900,46029.6,0,0,0,0,16,42,46,1097,0,20,9,150,8,33,0,0,0,0,0,0,0,0,299.29,346.74,5000
71075.7,1.10905e+06,528.249,38115.9,6210.08,0,0,0,0,37,214,61,1352,0,3,8,40,0,11,0,0,0,0,0,0,0,0,270.385,44.0252,5000
9351.96,47460.4,1.39675e+06,231288,16167.6,0,0,0,0,4,21,12,64,55,1312,13,166,3,15,0,0,0,0,0,0,0,0,349.059,358.141,5000
872052,4015.77,739.311,42385.7,0,0,0,0,0,65,848,1,17,0,1,20,138,0,0,0,0,0,0,0,0,0,0,21.6848,467.902,5000
1.22957e+06,101675,1645.02,25956.6,1453.81,0,0,0,0,74,1348,63,200,0,4,9,32,0,6,0,0,0,0,0,0,0,0,251.098,85.5196,5000
3461.48,298609,1.47128e+06,48030.6,5663.03,0,0,0,0,0,5,29,278,64,1283,1,23,0,3,0,0,0,0,0,0,0,0,325.915,277.811,5000
28292.6,908462,12062,24551.9,133717,0,0,0,0,10,92,51,835,2,12,5,47,49,404,0,0,0,0,0,0,0,0,95.5153,396.812,5000
77404.6,582.943,500.069,170269,647.694,0,0,0,0,33,214,0,3,0,2,49,573,0,3,0,0,0,0,0,0,0,0,5.88256,315.869,5000
13508.7,160813,14070.8,1.36516e+06,20550.7,0,0,0,0,5,28,9,112,2,9,45,864,3,90,0,0,0,0,0,0,0,0,137.29,376.987,5000
536220,1694.5,93.8183,71960.2,819.636,0,0,0,0,70,732,0,10,0,1,28,224,0,1,0,0,0,0,0,0,0,0,14.8402,433.062,5000
