#class tools::wcsv::ntuple
#title Aggregated per-config readout
#separator 44
#vector_separator 59
#column double e0_keV
#column double e1_keV
#column double e2_keV
#column double e3_keV
#column double e4_keV
#column double e5_keV
#column double e6_keV
#column double e7_keV
#column double e8_keV
#column double c0_b0
#column double c0_b1
#column double c1_b0
#column double c1_b1
#column double c2_b0
#column double c2_b1
#column double c3_b0
#column double c3_b1
#column double c4_b0
#column double c4_b1
#column double c5_b0
#column double c5_b1
#column double c6_b0
#column double c6_b1
#column double c7_b0
#column double c7_b1
#column double c8_b0
#column double c8_b1
#column double angle_deg
#column double dist_cm
#column int nEvents
33240.8,6503.85,1.44061e+06,22922,13678.1,0,0,0,0,17,44,0,31,56,942,10,23,4,55,0,0,0,0,0,0,0,0,222.39,82.6354,5000
28867.9,39332.2,345076,6736.04,1.45968e+06,0,0,0,0,3,20,35,69,26,231,5,8,57,1214,0,0,0,0,0,0,0,0,197.284,310.096,5000
11339.3,30425.3,359490,1.44997e+06,45463.3,0,0,0,0,7,18,8,25,23,279,77,1327,35,85,0,0,0,0,0,0,0,0,108.609,108.085,5000
7613.56,34626.8,1.50193e+06,10851.5,16267,0,0,0,0,2,31,17,42,57,888,1,54,11,32,0,0,0,0,0,0,0,0,57.5242,66.2144,5000
9902.06,46728.6,664379,885570,54964.2,0,0,0,0,1,26,8,58,29,478,55,1276,45,108,0,0,0,0,0,0,0,0,115.15,27.6691,5000
1.43253e+06,11962.8,328712,41780,24176.6,0,0,0,0,49,1289,4,16,26,269,21,95,2,28,0,0,0,0,0,0,0,0,17.6563,419.033,5000
524429,11919.5,836919,44302.4,49400.8,0,0,0,0,58,998,3,22,30,580,28,128,10,74,0,0,0,0,0,0,0,0,26.6006,261.138,5000
27669.4,8485.85,1.4028e+06,19838.8,14385.5,0,0,0,0,10,41,3,33,47,903,11,31,2,57,0,0,0,0,0,0,0,0,220.073,493.064,5000
39897,25096.9,308450,1.55122e+06,8583.56,0,0,0,0,23,80,4,28,13,220,57,1267,1,10,0,0,0,0,0,0,0,0,73.9006,49.4155,5000
29131.1,1.58338e+06,248097,24271,10954.7,0,0,0,0,21,42,47,1165,18,207,2,23,5,24,0,0,0,0,0,0,0,0,281.106,468.009,5000
